N° Client;Raison social;Civilité;Responsable;Rue;CP;Ville;CA 2014;Représentant;Tel;date du dernier achat;Type de client;Date de relance commerciale;Nombre de jour(s) de retard;Réduction 1;Réduction 2
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;15 371 €;FRANGIN;02-47-47-82-21;22/09/15;;21/12/15;;;
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;26 722 €;PILLON;01-42-38-92-88;21/04/15;Bon client;19/08/15;82;3,00%;3,00%
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;17 867 €;GOUTAL;01-42-16-16-83;24/12/14;;24/03/15;230;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;22 463 €;BOILOT;01-45-21-28-46;09/03/15;Bon client;07/07/15;125;3,00%;3,00%
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;3 083 €;GOUTAL;01-49-36-73-57;16/01/15;;16/04/15;207;;
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;21 763 €;BOILOT;01-44-49-52-54;11/07/15;Bon client;08/11/15;1;3,00%;3,00%
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;12 855 €;PILLON;03-80-66-62-09;10/06/15;;08/09/15;62;;
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;33 684 €;GOUTAL;03-81-21-93-12;29/08/15;Très bon client;27/11/15;;5,00%;10,00%
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;15 023 €;PILLON;03-83-15-43-24;29/04/15;;28/07/15;104;;
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;9 315 €;BOILOT;03-88-11-60-03;15/01/15;;15/04/15;208;;
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;12 700 €;PILLON;01-42-34-80-52;23/08/15;;21/11/15;;;
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;23 665 €;GOUTAL;01-49-36-73-57;18/08/15;Bon client;16/12/15;;3,00%;6,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;21 508 €;FRANGIN;01-39-27-42-58;22/08/15;Bon client;20/12/15;;3,00%;6,00%
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;38 952 €;BOILOT;01-44-49-52-54;09/12/14;Très bon client;09/03/15;245;5,00%;5,00%
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;36 026 €;PILLON;01-46-33-68-67;17/04/15;Très bon client;16/07/15;116;5,00%;5,00%
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;33 828 €;PILLON;01-42-38-92-88;07/10/15;Très bon client;05/01/16;;5,00%;10,00%
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;39 434 €;BOILOT;01-49-28-20-25;18/05/15;Très bon client;16/08/15;85;5,00%;5,00%
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;17 652 €;GOUTAL;01-42-16-16-83;12/09/15;;11/12/15;;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;29 657 €;BOILOT;01-45-21-28-46;06/05/15;Bon client;03/09/15;67;3,00%;3,00%
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;38 262 €;FRANGIN;01-49-09-58-14;09/03/15;Très bon client;07/06/15;155;5,00%;5,00%
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;12 884 €;BOILOT;01-49-81-22-61;15/09/15;;14/12/15;;;
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;33 677 €;GOUTAL;02-32-88-84-46;03/08/15;Très bon client;01/11/15;8;5,00%;10,00%
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;38 980 €;BOILOT;03-22-66-85-43;05/05/15;Très bon client;03/08/15;98;5,00%;5,00%
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;12 509 €;PILLON;09-64-08-19-44;24/08/15;;22/11/15;;;
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;8 885 €;FRANGIN;03-20-44-41-65;15/03/15;;13/06/15;149;;
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;25 874 €;FRANGIN;02-47-47-82-21;20/05/15;Bon client;17/09/15;53;3,00%;3,00%
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;41 845 €;FRANGIN;02-41-35-52-15;17/07/15;Très bon client;15/10/15;25;5,00%;10,00%
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;22 943 €;GOUTAL;03-81-21-93-12;24/10/15;Bon client;21/02/16;;3,00%;6,00%
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;35 274 €;BOILOT;03-88-11-60-03;15/07/15;Très bon client;13/10/15;27;5,00%;10,00%
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;39 789 €;FRANGIN;01-49-09-58-14;04/06/15;Très bon client;02/09/15;68;5,00%;5,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;4 249 €;PILLON;01-42-34-80-52;02/11/15;;31/01/16;;;
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;40 408 €;PILLON;03-83-15-43-24;23/08/15;Très bon client;21/11/15;;5,00%;10,00%
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;4 023 €;FRANGIN;03-20-44-41-65;12/02/15;;13/05/15;180;;
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;18 242 €;FRANGIN;02-41-35-52-15;19/12/14;;19/03/15;235;;
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;21 355 €;PILLON;09-64-08-19-44;01/08/15;Bon client;29/11/15;;3,00%;6,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;18 234 €;FRANGIN;01-39-27-42-58;12/01/15;;12/04/15;211;;
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;40 554 €;GOUTAL;02-32-88-84-46;18/08/15;Très bon client;16/11/15;;5,00%;10,00%
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;4 140 €;BOILOT;01-49-81-22-61;05/04/15;;04/07/15;128;;
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;16 809 €;BOILOT;03-22-66-85-43;03/03/15;;01/06/15;161;;
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;26 409 €;PILLON;01-46-33-68-67;10/10/15;Bon client;07/02/16;;3,00%;6,00%
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;12 738 €;PILLON;03-80-66-62-09;05/08/15;;03/11/15;6;;
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;4 624 €;BOILOT;01-49-28-20-25;25/10/15;;23/01/16;;;
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;3 558 €;FRANGIN;02-47-47-82-21;07/02/15;;08/05/15;185;;
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;6 176 €;PILLON;01-42-38-92-88;16/04/15;;15/07/15;117;;
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;37 193 €;GOUTAL;01-42-16-16-83;26/07/15;Très bon client;24/10/15;16;5,00%;10,00%
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;26 091 €;BOILOT;01-45-21-28-46;14/03/15;Bon client;12/07/15;120;3,00%;3,00%
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;37 649 €;GOUTAL;01-49-36-73-57;25/10/15;Très bon client;23/01/16;;5,00%;10,00%
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;7 968 €;BOILOT;01-44-49-52-54;19/07/15;;17/10/15;23;;
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;17 326 €;GOUTAL;03-81-21-93-12;12/03/15;;10/06/15;152;;
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;19 644 €;BOILOT;03-88-11-60-03;08/08/15;;06/11/15;3;;
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;39 106 €;FRANGIN;01-49-09-58-14;25/10/15;Très bon client;23/01/16;;5,00%;10,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;36 037 €;PILLON;01-42-34-80-52;02/05/15;Très bon client;31/07/15;101;5,00%;5,00%
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;8 434 €;PILLON;03-83-15-43-24;11/05/15;;09/08/15;92;;
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;5 474 €;FRANGIN;03-20-44-41-65;13/04/15;;12/07/15;120;;
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;39 654 €;FRANGIN;02-41-35-52-15;02/12/14;Très bon client;02/03/15;252;5,00%;5,00%
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;24 385 €;PILLON;09-64-08-19-44;24/10/15;Bon client;21/02/16;;3,00%;6,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;38 919 €;FRANGIN;01-39-27-42-58;10/06/15;Très bon client;08/09/15;62;5,00%;5,00%
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;21 753 €;GOUTAL;02-32-88-84-46;07/08/15;Bon client;05/12/15;;3,00%;6,00%
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;35 202 €;BOILOT;01-49-81-22-61;12/08/15;Très bon client;10/11/15;;5,00%;10,00%
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;13 599 €;BOILOT;03-22-66-85-43;08/02/15;;09/05/15;184;;
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;40 873 €;PILLON;01-46-33-68-67;14/05/15;Très bon client;12/08/15;89;5,00%;5,00%
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;37 220 €;PILLON;03-80-66-62-09;16/10/15;Très bon client;14/01/16;;5,00%;10,00%
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;13 042 €;BOILOT;01-49-28-20-25;25/05/15;;23/08/15;78;;
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;31 277 €;FRANGIN;02-47-47-82-21;10/01/15;Très bon client;10/04/15;213;5,00%;5,00%
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;6 074 €;PILLON;01-42-38-92-88;04/07/15;;02/10/15;38;;
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;41 268 €;GOUTAL;01-42-16-16-83;16/06/15;Très bon client;14/09/15;56;5,00%;5,00%
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;31 835 €;BOILOT;01-45-21-28-46;17/10/15;Très bon client;15/01/16;;5,00%;10,00%
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;17 117 €;GOUTAL;01-49-36-73-57;17/11/15;;15/02/16;;;
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;40 716 €;BOILOT;01-44-49-52-54;15/01/15;Très bon client;15/04/15;208;5,00%;5,00%
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;11 437 €;GOUTAL;03-81-21-93-12;10/02/15;;11/05/15;182;;
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;26 611 €;BOILOT;03-88-11-60-03;03/06/15;Bon client;01/10/15;39;3,00%;3,00%
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;15 694 €;FRANGIN;01-49-09-58-14;11/01/15;;11/04/15;212;;
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;28 379 €;PILLON;01-42-34-80-52;13/02/15;Bon client;13/06/15;149;3,00%;3,00%
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;24 409 €;PILLON;03-83-15-43-24;06/11/15;Bon client;05/03/16;;3,00%;6,00%
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;7 934 €;FRANGIN;03-20-44-41-65;28/05/15;;26/08/15;75;;
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;30 664 €;FRANGIN;02-41-35-52-15;13/07/15;Très bon client;11/10/15;29;5,00%;10,00%
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;38 687 €;PILLON;09-64-08-19-44;03/03/15;Très bon client;01/06/15;161;5,00%;5,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;8 257 €;FRANGIN;01-39-27-42-58;12/03/15;;10/06/15;152;;
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;32 665 €;GOUTAL;02-32-88-84-46;30/04/15;Très bon client;29/07/15;103;5,00%;5,00%
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;14 126 €;BOILOT;01-49-81-22-61;20/05/15;;18/08/15;83;;
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;21 083 €;BOILOT;03-22-66-85-43;18/07/15;Bon client;15/11/15;;3,00%;6,00%
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;36 525 €;PILLON;01-46-33-68-67;05/10/15;Très bon client;03/01/16;;5,00%;10,00%
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;36 085 €;PILLON;03-80-66-62-09;13/09/15;Très bon client;12/12/15;;5,00%;10,00%
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;7 243 €;BOILOT;01-49-28-20-25;04/07/15;;02/10/15;38;;
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;29 712 €;FRANGIN;02-47-47-82-21;19/05/15;Bon client;16/09/15;54;3,00%;3,00%
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;12 222 €;PILLON;01-42-38-92-88;13/06/15;;11/09/15;59;;
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;10 646 €;GOUTAL;01-42-16-16-83;20/04/15;;19/07/15;113;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;16 009 €;BOILOT;01-45-21-28-46;26/07/15;;24/10/15;16;;
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;42 849 €;GOUTAL;01-49-36-73-57;12/11/15;Très bon client;10/02/16;;5,00%;10,00%
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;8 389 €;BOILOT;01-44-49-52-54;04/07/15;;02/10/15;38;;
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;42 236 €;PILLON;03-80-66-62-09;10/04/15;Très bon client;09/07/15;123;5,00%;5,00%
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;18 402 €;GOUTAL;03-81-21-93-12;14/11/15;;12/02/16;;;
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;6 439 €;PILLON;03-83-15-43-24;15/08/15;;13/11/15;;;
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;9 204 €;BOILOT;03-88-11-60-03;12/05/15;;10/08/15;91;;
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;23 124 €;PILLON;01-42-34-80-52;07/04/15;Bon client;05/08/15;96;3,00%;3,00%
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;29 102 €;GOUTAL;01-49-36-73-57;10/11/15;Bon client;09/03/16;;3,00%;6,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;24 151 €;FRANGIN;01-39-27-42-58;16/06/15;Bon client;14/10/15;26;3,00%;3,00%
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;15 750 €;BOILOT;01-44-49-52-54;19/01/15;;19/04/15;204;;
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;35 593 €;PILLON;01-46-33-68-67;10/09/15;Très bon client;09/12/15;;5,00%;10,00%
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;28 239 €;PILLON;01-42-38-92-88;03/01/15;Bon client;03/05/15;190;3,00%;3,00%
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;3 137 €;BOILOT;01-49-28-20-25;03/05/15;;01/08/15;100;;
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;16 917 €;GOUTAL;01-42-16-16-83;23/03/15;;21/06/15;141;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;34 563 €;BOILOT;01-45-21-28-46;18/06/15;Très bon client;16/09/15;54;5,00%;5,00%
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;40 221 €;FRANGIN;01-49-09-58-14;10/01/15;Très bon client;10/04/15;213;5,00%;5,00%
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;4 612 €;BOILOT;01-49-81-22-61;30/01/15;;30/04/15;193;;
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;23 783 €;GOUTAL;02-32-88-84-46;24/03/15;Bon client;22/07/15;110;3,00%;3,00%
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;8 489 €;BOILOT;03-22-66-85-43;25/07/15;;23/10/15;17;;
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;40 985 €;PILLON;09-64-08-19-44;22/04/15;Très bon client;21/07/15;111;5,00%;5,00%
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;10 195 €;FRANGIN;03-20-44-41-65;24/06/15;;22/09/15;48;;
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;21 330 €;FRANGIN;02-47-47-82-21;20/06/15;Bon client;18/10/15;22;3,00%;3,00%
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;16 058 €;FRANGIN;02-41-35-52-15;04/09/15;;03/12/15;;;
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;15 054 €;GOUTAL;03-81-21-93-12;28/12/14;;28/03/15;226;;
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;20 346 €;BOILOT;03-88-11-60-03;08/09/15;Bon client;06/01/16;;3,00%;6,00%
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;23 291 €;FRANGIN;01-49-09-58-14;10/10/15;Bon client;07/02/16;;3,00%;6,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;38 655 €;PILLON;01-42-34-80-52;14/01/15;Très bon client;14/04/15;209;5,00%;5,00%
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;13 904 €;PILLON;03-83-15-43-24;18/05/15;;16/08/15;85;;
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;19 582 €;FRANGIN;03-20-44-41-65;08/03/15;;06/06/15;156;;
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;12 366 €;FRANGIN;02-41-35-52-15;23/05/15;;21/08/15;80;;
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;41 259 €;PILLON;09-64-08-19-44;25/06/15;Très bon client;23/09/15;47;5,00%;5,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;27 253 €;FRANGIN;01-39-27-42-58;30/03/15;Bon client;28/07/15;104;3,00%;3,00%
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;14 082 €;GOUTAL;02-32-88-84-46;04/04/15;;03/07/15;129;;
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;22 367 €;BOILOT;01-49-81-22-61;16/05/15;Bon client;13/09/15;57;3,00%;3,00%
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;4 818 €;BOILOT;03-22-66-85-43;05/10/15;;03/01/16;;;
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;6 266 €;PILLON;01-46-33-68-67;26/01/15;;26/04/15;197;;
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;37 598 €;PILLON;03-80-66-62-09;19/10/15;Très bon client;17/01/16;;5,00%;10,00%
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;28 035 €;BOILOT;01-49-28-20-25;23/08/15;Bon client;21/12/15;;3,00%;6,00%
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;21 694 €;FRANGIN;02-47-47-82-21;23/12/14;Bon client;22/04/15;201;3,00%;3,00%
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;9 397 €;PILLON;01-42-38-92-88;13/10/15;;11/01/16;;;
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;12 680 €;GOUTAL;01-42-16-16-83;13/10/15;;11/01/16;;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;10 581 €;BOILOT;01-45-21-28-46;01/05/15;;30/07/15;102;;
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;38 269 €;GOUTAL;01-49-36-73-57;09/09/15;Très bon client;08/12/15;;5,00%;10,00%
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;6 235 €;BOILOT;01-44-49-52-54;24/07/15;;22/10/15;18;;
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;3 421 €;GOUTAL;03-81-21-93-12;17/06/15;;15/09/15;55;;
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;10 975 €;BOILOT;03-88-11-60-03;26/02/15;;27/05/15;166;;
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;41 597 €;FRANGIN;01-49-09-58-14;17/03/15;Très bon client;15/06/15;147;5,00%;5,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;22 574 €;PILLON;01-42-34-80-52;06/08/15;Bon client;04/12/15;;3,00%;6,00%
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;42 135 €;PILLON;03-83-15-43-24;29/08/15;Très bon client;27/11/15;;5,00%;10,00%
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;12 687 €;FRANGIN;03-20-44-41-65;30/09/15;;29/12/15;;;
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;36 697 €;FRANGIN;02-41-35-52-15;23/03/15;Très bon client;21/06/15;141;5,00%;5,00%
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;14 792 €;PILLON;09-64-08-19-44;25/08/15;;23/11/15;;;
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;26 281 €;FRANGIN;01-39-27-42-58;28/05/15;Bon client;25/09/15;45;3,00%;3,00%
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;35 379 €;GOUTAL;02-32-88-84-46;28/02/15;Très bon client;29/05/15;164;5,00%;5,00%
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;14 604 €;BOILOT;01-49-81-22-61;31/01/15;;01/05/15;192;;
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;20 772 €;BOILOT;03-22-66-85-43;26/01/15;Bon client;26/05/15;167;3,00%;3,00%
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;3 025 €;PILLON;01-46-33-68-67;02/05/15;;31/07/15;101;;
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;16 533 €;PILLON;03-80-66-62-09;11/06/15;;09/09/15;61;;
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;30 360 €;BOILOT;01-49-28-20-25;28/03/15;Très bon client;26/06/15;136;5,00%;5,00%
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;12 419 €;FRANGIN;02-47-47-82-21;22/08/15;;20/11/15;;;
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;38 802 €;PILLON;01-42-38-92-88;04/03/15;Très bon client;02/06/15;160;5,00%;5,00%
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;27 179 €;GOUTAL;01-42-16-16-83;07/10/15;Bon client;04/02/16;;3,00%;6,00%
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;5 331 €;BOILOT;01-45-21-28-46;28/11/14;;26/02/15;256;;
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;24 291 €;GOUTAL;01-49-36-73-57;11/01/15;Bon client;11/05/15;182;3,00%;3,00%
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;20 341 €;BOILOT;01-44-49-52-54;06/10/15;Bon client;03/02/16;;3,00%;6,00%
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;23 715 €;GOUTAL;03-81-21-93-12;14/03/15;Bon client;12/07/15;120;3,00%;3,00%
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;37 226 €;BOILOT;03-88-11-60-03;19/09/15;Très bon client;18/12/15;;5,00%;10,00%
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;19 813 €;FRANGIN;01-49-09-58-14;13/01/15;;13/04/15;210;;
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;38 701 €;PILLON;01-42-34-80-52;31/08/15;Très bon client;29/11/15;;5,00%;10,00%
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;22 414 €;PILLON;03-83-15-43-24;11/03/15;Bon client;09/07/15;123;3,00%;3,00%
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;16 375 €;FRANGIN;03-20-44-41-65;12/05/15;;10/08/15;91;;
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;38 574 €;FRANGIN;02-41-35-52-15;26/01/15;Très bon client;26/04/15;197;5,00%;5,00%
